ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category,exercise_role
0001,3-4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,,,strength,isolation
0002,45 degrees Side Bend,Strength,Waist,Body weight,Male,,,,,strength,isolation
0003,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",,,strength,secondary_compound
0006,Alternate Heel Touchers,Strength,Waist,Body weight,Male,,,,,strength,isolation
0009,Assisted Chest Dip (kneeling),Strength,Chest,Hammerstrength Machine,Male,,,,,strength,secondary_compound
0015,Assisted Parallel Close Grip Pull-up,Strength,Back,Pull up Bar,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength,secondary_compound
0017,Assisted Pull-up,Strength,Back,Pull up Bar,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength,secondary_compound
0019,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Hammerstrength Machine,Male,,,,,strength,secondary_compound
0022,Barbell Pullover To Press,Strength,Back,Barbells,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength,isolation
0023,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis",,,strength,isolation
0025,Barbell Bench Press,Strength,Chest,Barbells/Flat Bench,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength,primary_compound
0026,Barbell Bench Squat,Strength,Hips,Barbells,Male,Quadriceps,"Adductor Magnus, Soleus",,,strength,secondary_compound
0027,Barbell Bent Over Row,Strength,Back,Barbells,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",,,strength,primary_compound
0028,Barbell Clean and Press,Strength,Shoulders,Barbells,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",,,,strength,primary_compound
0029,Barbell Clean-grip Front Squat,Strength,Thighs,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength,primary_compound
0030,Barbell Close-Grip Bench Press,Strength,Upper Arms,Barbells/Flat Bench,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,strength,primary_compound
0031,Barbell Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis",,,strength,isolation
0032,Barbell Deadlift,Strength,Hips,Barbells,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",,,strength,primary_compound
0033,Barbell Decline Bench Press,Strength,Chest,Barbells/Decline Bench,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength,primary_compound
0038,Barbell Drag Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior",,,strength,isolation
0039,Barbell Front Chest Squat,Strength,Thighs,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength,secondary_compound
0041,Barbell Front Raise,Strength,Shoulders,Barbells,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",,,strength,isolation
0042,Barbell Front Squat,Strength,Hips,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength,primary_compound
0043,Barbell Full Squat,Strength,Thighs,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength,secondary_compound
0044,Barbell Good Morning,Strength,Thighs,Barbells,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus",,,strength,secondary_compound
