ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
0001,3-4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,,,strength
0002,45 degrees Side Bend,Strength,Waist,Body weight,Male,,,,,strength
0003,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",,,strength
0006,Alternate Heel Touchers,Strength,Waist,Body weight,Male,,,,,strength
0009,Assisted Chest Dip (kneeling),Strength,Chest,Hammerstrength Machine,Male,,,,,strength
0015,Assisted Parallel Close Grip Pull-up,Strength,Back,Pull up Bar,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength
0017,Assisted Pull-up,Strength,Back,Pull up Bar,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength
0019,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Hammerstrength Machine,Male,,,,,strength
0022,Barbell Pullover To Press,Strength,Back,Barbells,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers",,,strength
0023,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis",,,strength
0025,Barbell Bench Press,Strength,Chest,Barbells/Flat Bench,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
0026,Barbell Bench Squat,Strength,Hips,Barbells,Male,Quadriceps,"Adductor Magnus, Soleus",,,strength
0027,Barbell Bent Over Row,Strength,Back,Barbells,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
0028,Barbell Clean and Press,Strength,Shoulders,Barbells,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",,,,strength
0029,Barbell Clean-grip Front Squat,Strength,Thighs,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
0030,Barbell Close-Grip Bench Press,Strength,Upper Arms,Barbells/Flat Bench,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,strength
0031,Barbell Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis",,,strength
0032,Barbell Deadlift,Strength,Hips,Barbells,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",,,strength
0033,Barbell Decline Bench Press,Strength,Chest,Barbells/Decline Bench,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
0038,Barbell Drag Curl,Strength,Upper Arms,Barbells,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior",,,strength
0039,Barbell Front Chest Squat,Strength,Thighs,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
0041,Barbell Front Raise,Strength,Shoulders,Barbells,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",,,strength
0042,Barbell Front Squat,Strength,Hips,Barbells/Squat Rack,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
